appid,developers
1299170,Press Play
612370,Sicarius
539640,JustUsGameLab
271670,Anatoliy Loginovskikh
731770,Vertigo Games
1141650,No.25
397330,Pocket Rocket Studio 🚀
836940,HeartBeat Plus
362350,Furlough Games
570980,Illwinter Game Design
443000,Gamecan
2613870,栖鸾工作室
799860,Hunchback Studio
453310,Idea Factory
2467810,Maxis
1580800,Yannick
1324070,PlatinumGames Inc.
438080,Totally Games
1598010,Blankhans
612300,CarlMorganArt
762560,KORO.GAMES
2685210,Stout Games
2198940,WizarBox Production
1273560,Ghostbutter
1502980,Applimazing
2337630,MichaelArts
1341050,Taylor Stapleton
2732980,Disillusion Dev
378270,Antonio Renna
703840,Angry Mob Games
2498480,Phenomenon Games
2817620,Technomancy Studios
1019450,Winch Gate Property Limited
1315160,Nitroplus
2824310,Grey Alien Games
946040,Nonadecimal Creative
611120,Super Duper Garrett Cooper
463850,Cyanide Studio
2196420,HB Studios
2119590,Nawia Games
299660,Unigine Corp.
3388760,CatBellUnion
2761100,Wisdom Tree
250660,Inc.
2170050,Stately Snail
2211730,Pirates Of The Digital Sea
340200,WSS playground
1243220,IndieGameMamaDev
1740240,Studio 4D
893020,suxamethonium
1455910,Pewter Games Studios
2885580,Microblast Games
1279240,Explosive Squat Games
1116210,Studio Koprol
342610,Anarteam
1216490,Ian Campbell
696140,Duality Games
200370,GSC Game World
2397250,Lingtan Studio
1367760,Elite Games Team
1270930,77p Studios
2001570,Quiet River
963330,Fulqrum Publishing
1975180,WaveBox Labs
1637230,Tonguç Bodur
305070,DMgames
2138570,Roope Tamminen
536890,Triumph Studios
2591910,Baba Yaga Games
1573750,Anatoliy Loginovskikh
2856450,Konnichiwa Games
2597460,DEVGRU-P
2838510,Primula
2630080,GTGD
235660,Saber Interactive
1222040,Redemption Ark
1028860,SC Jogos
215710,Qd
429700,Chillas Art
598440,Level 91 Entertainment
1432850,Flo Knödl
48950,Johannes Fischer
951750,Michael Hütter
207790,Christoph Müller
1216880,Simon Eberl
2430690,Thomas Kern
654850,Lukas Schönwiese
293660,Fivemid Studio
340350,concluse_dev
1303740,T Allen Studios
2699820,Snowhound Games
1032700,Pawel Zajac (Artbarian Games)
395270,Q-Games Ltd.
408000,Hide Games
458580,EYEFRONT
1504250,Square Enix
889770,Bullets
531270,Unknown Developer
2708210,Magnus Ander
1236240,Zoë Mode
1125510,Stranga
666870,Sumo Digital
1457520,Pixel Federation
200080,Z-Software
844330,BlackMark Studio
1062340,Bunnyhug
396800,Cheesecake Dev
2628420,Hugecalf Studios
793490,Rare Reversee
255370,Beaztek
1973580,4HEAD Studios
242780,VitruviusVR
431450,Cold Beam Games
1399840,Hentai X
600080,17-BIT
657630,Milestone S.r.l.
2295520,b-alive gmbh
383460,1C-Avalon
270090,LewdTube LLC
780500,Noham Games
1148560,Hammer Labs
734920,Abylight Barcelona
549080,Star Drifters
758410,Alawar Entertainment
2458940,GirlGames
538840,WildTangent
1502080,USC Games
2175780,幻想博物馆（Utopia Museum）
1520270,BambuseaeGames
411310,Ares Game Co.
444260,Unknown Developer
1043240,Ben Yahtzee Croshaw
46270,Trilobyte Games
259810,Devcats
839930,Insomniac Games
985080,Galaxy Gate
2152740,Vblank Entertainment
1413960,Inc.
2860450,Milestone S.r.l.
690140,Artur Smiarowski
215790,BrainDead Broccoli
2172030,Stainless Games Ltd
848500,Schell Games
1656240,Gwyn Games
700820,eXtreme Studios
1767320,Cosmo D
335790,Breakfall
1285230,EVC Games
977460,Zoink Games
209730,G-Blood
2351970,DAvekki Studios Ltd
3239270,Milkstone Studios
1946140,Humongous Entertainment
1321270,RetroStyle Games
1636420,Scolaro Games
380140,CAVE Interactive CO.
1381980,LTD.
827860,KT Racing
1789490,Fate Dragon Studio
542400,more8bit
1273100,Idea Factory
840390,Compile Heart
1522560,Sting
786580,Chillas Art
354430,Kvltgames
582810,CatBellUnion
1398070,Casual Labs
2246110,Serious Sim
1567370,Midnight Party
600120,Mango Protocol
1843540,Quantized Bit
2712550,Business Tycoon
914430,WAKUWAKU
3319980,Lose
2804510,Daedalic Entertainment
992740,Furry Tails
547590,Deck13 Hamburg
1781750,SRS Games
336440,MagnaVex Entertainment
2182630,PLAYWITH GAMES Inc.
2971610,Crazyant
350010,Zen Studios
730050,AHEARTFULOFGAMES
2635980,Crimson Tales
2461050,InterAction studios
944080,Zenimax Online Studios
486650,Red Vibe Studio
1114030,Cabbit
488920,樹懶叫工作室
959880,sloth gamer
440740,LunaSoft
1985420,Draw Games Developers
497820,Dischan Media
1446850,Koenigz
542590,吃了就睡工作室
765480,夜神不说话
2197160,Hadoque
300260,Forgotten
2822030,星环游戏
277110,Games Incubator
448240,GAME NA KIBUN
63500,Dreamlab XR
1542810,Darkworks
2729480,Spiral House
280360,Okron Studio
266170,Ammobox Studios
2438680,RainbowGame
981020,Narko Games
1796200,Bedtime Digital Games
2078350,Milestone S.r.l.
617660,DreamEscape
102850,Taboo Tales 💘
703180,Tom Johnson
2148930,Girls on Campus
1156380,from Freshmen to Faculty
209630,All Fall for Me!
427950,InterAction studios
259600,QCF Design
1995870,Evil Twin Artworks
1863430,KOEI TECMO GAMES CO.
1412310,LTD.
1288900,Refugium Games
628290,COMPILE HEART
955870,IDEA FACTORY
850050,Vigilant Addiction Studios
2270590,Assemble Entertainment
864680,High Voltage Software
506480,Seraph Studio
222140,Calappa Games
416000,Warfare Studios
390730,Crytek
623310,YDKR
1055090,Revolution Software Ltd
1516080,Dejobaan Games
1497450,Unknown Developer
1843350,Anatoliy Loginovskikh
1349030,Аlexandr Telminov
200150,Arc System Works
2647300,Studio Popote
1839510,Games With Dragons In
640050,SUPERSCARYSNAKES
3090980,Enokippu
2395620,Zai Studio
2825110,Black Cat Entertainment
601010,Autumn Pioneer
1751980,Videlectrix
2928650,OceanAVN
345860,Dan Hathaway
505330,Red Abyss Software
957710,深圳市灵境互娱科技有限公司
254590,Cyberlore
851950,锁眼工作室
434020,Pixel Puzzles
2257460,Caracal Games
1125910,Brightrock Games
956140,Angels Blue Digital Entertainment
2505120,Ladomu
1772910,Love Conquers All Games
583930,Blueteak
402310,Dad Hat Games
237950,inkle Ltd
2402710,Black Sheep Studio
324650,Carbon Studio
3119520,Mattis Folkestad
490820,Size Five Games
1600370,Unlimina Software
2473890,WSS playground
342550,mumimumi
955320,veryOK
1763740,Atree
848050,kabocha renga
2273470,Space Colony Studios
1214670,Proton Studio Inc
1960480,Playmeow
288370,Super Mega Team
921700,Wadjet Eye Games
1323830,Zojoi
2578880,Powersnake
2291020,Sokpop Collective
904310,Steve Gal
449300,Double Fine Productions
1934800,React Games
1195560,MoaCube
1903560,BetaDwarf
2568880,stage-nana
1225810,MobileBits
1482770,CINIC Games
546220,KevTheDev
2964280,gamesbychris
2680680,Lovely Games
248470,Festive Vector
315860,SP Digital Arts Inc.
1882040,PICTOLOGI
666820,World-Loom
1606280,Cosmic Dad
384500,GameXP.com
1151120,Mazjojo Productions
634340,Oohoo Studio
528660,IllusoryWorldEntertainment
63800,Anatoliy Loginovskikh
363460,THE BROTHERHOOD
441010,Jason Godbey
2197890,bmrec
1261180,Helder Pinto
457480,Chozabu (Alex PB)
1177130,Novadust Entertainment
585950,One Hamsa
1144970,Duion
581360,Rhombico Games
2269860,Pavel Kostin
2280540,RewindApp
406850,TechnoBrain
1749750,Andy Brophy
2723520,Orata Studio
2118130,Alan Hazelden
2212110,Lee Shang Lun
2914320,Firemint
1494560,Blazes Games
700100,CreepyToad
1766720,Copychaser Games
289800,Wunarg
800600,5WORD Team
1771180,Playful Corp.
316750,Finally Games
1863290,上海润梦网络科技有限公司
785840,Semaphore
1371660,Impressions Games
283060,100 Cats
929060,Shorebound Studios
2262080,EasyWays Team
229520,Spiral Circus Games
312230,Zachtronics
307340,Chillas Art
1016360,Callback
1485100,Dino Rocket
522040,Coronado Games
773840,I-Illusions
1384320,Catacorp
322850,Breakfirst Games
343270,Storybird Games
1444020,RewindApp
2529540,Actual Nerds
779330,HelloEnjoy
2456960,KishMish Games
1514360,svinoman
416670,Studio Sott
1005460,4H StudioLab
555450,Foolish Mortals Games
1569550,Michael Long
1259510,Nukearts Studio
1468160,U-ROOM
1346020,Seito Games
2456320,Kasey Ozymy
983150,INTI CREATES CO.
686900,LTD.
1198850,Gloomywood
502750,Farjay.com
260130,Hellbent Games
580710,GAME FREAK inc.
2163060,SmokeStab
965860,Shifty Chair Games
1058320,Robot Invader
1058370,Vaka Game Magazine
767420,ImCyan
290530,Suzaku
908070,Crimsonite Games
1929360,Orbital Express
480450,Petroglyph
1487590,Jake Donkersgoed
1919040,Danny Deer
1174720,冷笑黑妖
1021070,DVS
611750,Doble Punch Games
551450,KuKo
584990,NUTS POWER ONLINE ENTERTAINMENT LIMITED
967240,Zima software
254060,HiFight
1055610,Cheesecake Dev
436290,99Games Online Private Limited
2061230,七彩绘色游戏
1552250,JOX Studio
443360,BeXide Inc.
1861290,Pon Pon Games
454140,Digital Mosaic Games
1986880,Vertigo Games
348240,Very Very LITTLE Studio
577080,FIVE-BN GAMES
1037560,Revolution Software Ltd
1043230,Avalanche Software
441670,Victorian Clambake
575330,Qcplay
1917450,David Amador
270790,Lance Games
2469200,Reborn Entertainment
2599270,Happy Tuesday
2002570,threeW
2514460,Tiny Trinket Games
340770,Bloodirony
451780,Disney Interactive
893390,Redshift
324120,07th Expansion
524010,Adam Travers
1599470,PONY
2793290,Live Motion Games
1212940,Dmitry Zheltobriukhov
998660,神族宝
259870,Planescape Game Studio
1293460,Forever Entertainment S. A.
710030,Play2Chill
392000,Long Qi  Software Technology
2822010,Funomena
614950,The Vectromirror Initiative
1503850,IGG SINGAPORE PTE. LTD.
1640720,Fictiorama Studios
896750,Axan Gray
730870,T-Time Technology CO.
446640,LTD.
399070,KOEI TECMO GAMES CO.
1060310,LTD.
2491640,TKG Inc
680380,Artem Kotov
1924170,Mushreb Games
1016860,Avix Games
730410,shinachiku-castella
1410870,Psychic Software
748970,Mighty Tusks
1386890,Ludosity
387930,Midnight Pleasure
439250,Webble Games
1394130,Scary Cube
809730,Twin Sails Interactive
862480,Playsoft
559910,uglycoal
1502560,Nihon Falcom
384550,人型ですカオス
683830,Jon Nielsen
1236700,Google Inc.
459090,Glowlight
319560,Far Mills
221830,Mysterytag
670500,Big Ant Studios
207020,Fury Software
216090,1010 Games
1906220,Quiet River
324740,kamichichi
1997660,ENTERGRAM
910320,INC.
655550,Walter Machado
2749000,LighTea Fish Studio
2513240,Prime Games
47540,Nicalis
1034040,Inc.
280560,Wales Interactive
1373950,Good Gate Media
316890,Tamsoft
2143340,IriySoft
650940,Play:D
765640,K Bros Games
2196980,Liquid Dragon Studios
202130,Mash Games
357720,Homewreckers Studio
1989070,Wadjet Eye Games
1541220,Maggese
388490,Boom Games
1453850,Blazing Griffin
412520,Zenimax Online Studios
397310,Power Struggle Games
426630,Gregory Adam Scott
852340,ENGINES Inc.
812550,White Star Studio
418120,Sphere Studios
1394960,Emerson Design
363860,Inc.
512160,Wolfey Studios
747850,Dogenzaka Lab
1575710,DarkPhobia Games
1870320,Mediatonic
342260,Valorware
2719200,Cold Tea Studio
2442390,Yin Games
782660,GOLDEN AGE
2827560,Petr Šimůnek
871950,Cheerdealers
714800,Konrul Game
289460,BEHEMUTT
3096270,Kishimoto Studios
264280,Tindalos Interactive
1524750,明枭网络
1993180,Snoddasmannen
307090,Hasoyua
1128480,Alessandro Guzzo
1155870,ThinkOfGames
306700,吃了就睡工作室
1304580,Fervent
1233800,Room710Games
697650,BANDAI NAMCO Studios Inc.
2812850,Shawn Hitchcock
754040,MoonWolf Entertainment
433320,A2  Softworks
968370,灰烬天国
227060,Secret Garden
263400,Nowhere Studios
347170,铸城工作室
3107900,The Behemoth
1530750,INTI CREATES CO.
1722020,LTD.
363610,Victor Solodilov
643820,Denis Novikov
2736020,New Star Games Ltd.
1383740,A. Strazhev
3027260,Tortuga Team
2407830,Brave Cat Games
1281200,Kerry Fawdray
304670,夜喵
1425000,Allen
1370410,YETU GAME
1063980,59 Studio
380670,Silden
940310,HeartBeat Plus
1868410,Dylan White
606980,Haemimont Games
2206350,Tiny Bull Studios
2464120,BETA
560370,Krin Juangbhanich
2529080,Bluespy Studios
1555140,Flying Oak Games
2645580,Homegrown Games
1449430,Lukas Navratil
246960,Forever Entertainment S. A.
2552440,Mediatonic
1740850,Endava
1036440,Rival Games Ltd
1420540,Konstructors
563360,筠悦游戏
461700,NatsumeAtari
239090,Novalink
1925090,mc2games
1649740,Boundless Dynamics
1790370,Unknown Developer
1329540,Black Cat Entertainment
491330,MAD TRIO
3380760,Sprouting Potato
386640,Baumann Bergmann Pokinsson
207250,Jan Baumann
281450,Gentlymad Studios
2279600,OCR Dev Team
954610,Onur Uça
494670,BanzaiProject
971690,PsychoRavens
403560,Reason Generator Inc.
437000,迩来工作室
1648190,HornyGames
1407180,fushidaratei
606890,NOTvil
406720,BANDAI NAMCO Studios Inc.
334070,Size Five Games
2918550,SOFTSTAR ENTERTAINMENT
356450,Noisy Fish
3395140,Monstrum
1515950,SmallSqurriel
2840210,Tamsoft
280600,Supersonic Software
682140,SOFTSTAR TECHNOLOGY(SHANGHAI)
2639420,Tuttifrutti Interactive
777650,Tiny Shiny Things
1372830,Introversion Software
567130,Team Cognition
844960,Sprite Hills
1569700,ATLUS
1148480,Nikita Ghost_RUS
949050,Element Games
1258220,Unknown Developer
1767170,Playmeow
383740,橙光游戏
1469550,怪侠一枝梅工作室
1005120,qureate
252570,iMel Inc.
420100,DMM GAMES
3285700,Infinigon Games
501120,Turtle game
408250,Godmode Interactive
2008510,FURYU Corporation
1542280,Engine Software BV
1300430,Objectif 3D
457710,Synapse Games
1224700,SC Jogos
40330,MadSushi Games
852910,JDM4iK
1150090,Droid Riot
1512940,Live Motion Games
1658920,100 Cozy Games
824280,Cyzeck
2123140,Hannes Breuer
250640,Swell Games LLC
690060,MoeNovel
246940,Pendulo Studios
745760,Monkeys Tales Studio
2329130,Hollow Ponds
408120,Richard Hogg
1174640,Coffee Stain Studios
405610,Coffee Stain North
987720,Deep Silver Fishlabs
1342790,DeXP
539400,Stolen Couch Games
2315400,Gameplete
1078320,Buddy Cops
2458310,Unknown Developer
3091770,Spicy Dice Studios
2348680,Zanardi and Liza
1988830,Neko Cloud
1238920,Studio Goya
253610,Damon Smith
2497610,Playful Corp.
1386650,Seacoxx
1356240,Cordyceps Collective
1036700,Moonrise Interactive
1155880,Dark Blue Games
1056720,Pumpkin Interactive
222160,Samurai Punk
470210,Burut CT
2891120,Daylight Studios
1252000,KOEI TECMO GAMES CO.
402160,LTD.
1623880,GasaiGames
251690,Bad Bird Studios
1203360,Kazakov Studios
227020,Spicy Tails
858060,eBrain Studio
2400280,GameHoney
388340,Live Motion Games
2494930,Frozen Way
2494720,100 Cozy Games
289890,Wales Interactive
1674920,ZTEK Studio
427810,PixFroze
1548820,Neckbolt
687540,indie.io
1546870,SF team
468490,Michael Hutcheon
2420460,Wretched Devs LLC
2126010,Mantra
1161160,Sinergia Games
1563490,Super Mega Team
787760,Brainwash Gang
2424440,TLR Games
1131920,Barspin Studios
1592750,Opus
265120,Tasty Delicious Games
2928660,Heaven Brotherhood
2317640,Fabraz
72400,SnoutUp
1518440,chx125ck
1410830,PinkPeachStudio
812560,SKY HOUR WORKS
2669150,Ubisoft
291130,Matt Roszak
1507720,Atom Republic
1944250,Walk with Kings
445770,Dubscr
400240,DRAMATIC MUSIC PLAYS
207730,AlterWorlds
492840,Deca Games
1941410,2 players
1608040,MAGICS
1219480,Flux Games
909190,Cosmo D Studios
2732100,Pirate-Rob
1788850,Trigon Fan
623090,Mature Games
529160,Jan Tichota
292800,Aamn Chahrour
963280,SEGA
1216230,Trickster Arts
1926120,Square Enix
1465510,Pixel Reef
1594060,Deep Root Interactive
289280,Infogrames Entertainment SA
283230,Gremlin Interactive
2222540,DargomStudio
1201840,Nine’s Graphics
2655960,Marvelous Games
603140,Sundays Games
1306770,舞刀弄影
489370,舒尔佳
363420,Jace Masula
488910,Finji
295770,Quantum Forge Studios
2422080,GD Studio Inc
1919470,Scott Host
1045080,IO Games
1370170,MinMax Games Ltd.
607460,トトメトリ
2209910,Travellin Cats
589420,Going Loud Studios
745560,Dmytry Lavrov
622060,Unknown Developer
2027550,Please Be Patient
3281300,Rs
775580,L7team
1184990,Dawnsbury Studios
1619230,XII Games
2798430,SquarePlay Games
417910,Matt Workman
704860,Longbow Games
45720,1P2P
1478410,Fox House
629090,Sandstorm Studios Inc.
1516400,Alien Pixel Studios
2155770,Microids
65270,Daedalic Entertainment
1715590,Coconut Shavers
893950,WolfgangIs
542350,Giants Software
1293730,CorypheeSoft
273770,DigitalEZ
2323080,Doctor Entertainment AB
2009860,One Up Plus Entertainment
640990,Hongyuan Game
1975520,Door 407
414920,Breaking Dimensions
46770,Polygon Dust Entertainment Ltd.
589200,Eyebrow Interactive
361320,DreadXP
1906020,Airdorf Games
230330,Strange Scaffold
3083300,Scythe Dev Team
1100160,Secret Cow Level
1594410,Snowrunner Games
513340,David Szymanski
322900,Lovely Hellplace
2808570,Torple Dook
1949220,Wayward Preacher
1648730,oddbreeze
434510,Mahelyk
1575980,VINE
963400,Yacht Club Games
2535440,Lovely Games
1477060,Starlight Games
3111800,egunan
438030,AIHASTO
645690,Lucid Dreams Studio
588180,Bohemia Interactive
2330870,Jackbox Games
541660,Inc.
2196490,Paul Cuisset
2745800,Patrik Nagy
1210800,Dmitry Medvedev
1547160,Studio Evil
438020,Nimbly Games
812070,Unknown Developer
485370,Quadfix Games
349790,zha7
286280,Phaedruns
2082350,Yingke Wu
771920,Pro Wrestling Sim
2512190,DYA Games
1558930,EveRecord
397690,Dymchick1
469800,KHB-Soft
2118370,Parallax
414080,WildTangent
2517810,Galactic Gaming Guild
340340,Ureasoft
2951840,Sideby Interactive
1169740,Quarter Moon Games
2843640,ThinkOfGames
1192010,Headware Games
1240290,Appnormals Team
799510,Bamtang Games
248730,Andriy Bychkovskyi
1479500,LRDGames
2693940,Inc.
1124830,Indikator
1256530,BOBER BROS
664000,Alex Grim
417110,M83 Galaxy
231310,avoCATo
2434160,Trioskaz
1314630,Studio Kit
397720,Milpitians
680480,Mobile Co Studios
347610,Stingbot Games
2384600,Jeremy Fischer
625140,Nikita Kaf
2168600,Nippon Ichi Software
1038280,Inc.
1557420,Winged Cloud
673600,Very Very LITTLE Studio
384310,Blam! Games LLC
573770,PixelMouse
2227130,GOCORE
822760,A Shell in the Pit Games
1424710,Creative Ink Games
1494260,BraveWolf
968500,INTENSE
2281820,Alex Carpenter
679750,BambuseaeGames
293240,ADELTA
2542430,Joe Richardson
1014040,Chillas Art
2719190,Sigtrap
675170,Reality MagiQ
1530760,Vladislav Khorev
926310,Blueside
603190,Animyst Games
1581040,Delphine Software
492500,potentknight
350700,Unknown Developer
357340,Zloy Krot Studio
299420,Tolga Ay
844920,漫森游戏工作室
665270,Gluten Free Games
2785280,Stardock Entertainment
1978760,Stegosoft Games
1042670,EGAMER
2457540,sodaraptor
1862940,Valorware
373970,Skymarch Entertainment
377260,Five Mind Creations
377460,Baba Yaga Games
378690,Wales Interactive
867400,Good Gate Media
1931940,Animu Game
1212100,Deck 13
2130000,Dharker Studios
1919720,//commentout
1479810,Starni Games
1284130,CODELIFE Studio
1035750,HoHo Game Studio
2889660,Milestone S.r.l.
2057770,Wonderbelly Games
898160,Primula
2510810,IHM Studio
668320,TOSE CO.
965890,LTD.
889080,TALESSHOP Co.
605990,Unknown Developer
1015790,Kiki Games
1803390,Frozenbyte
2593450,HotBunny
1377540,bilge
912370,Luden.io
874040,Sludj Games
448070,Soccer Manager Ltd
566190,Hillhouse Holdings Limited
761350,Nikita Sozidar
1399240,Machine 22
263320,Nightdive Studios
1475850,Iguana Entertainment
582560,BattleGoat Studios
289760,Proximity Games
2722270,KDream
966630,Noforgetit
603100,Endless Loop Studios
1196080,Ripstone
2216040,Superstatic
1028930,Killer7
2716120,Famous Dogg Studios
3447410,Roll7
200960,Lunar Rooster
590280,GAMEYOND
294590,Checkbox Entertainment
2663950,Elixir Games
1280300,Spiderweb Software
875740,Volcanic Giraffe
813700,Pig Candle Games
589320,Valiant
2635750,Bits & Beasts
332490,ChillSwitch Games
320540,Frog Paw Studios
42850,HOGO Games
1585700,Little Bat Games
931310,ChAIR Entertainment
811870,SP-time
261680,White Panda Studio
746910,430Games
1918970,Chillas Art
394600,血色双眸
492270,Anatoliy Loginovskikh
1556490,Аlexandr Telminov
2835110,Snowy Ash Games
375120,Dystopian Project
499890,2by3 Games
1298480,Salt Mine Studios
1186220,KING Art
1337920,Rewind Games
1338250,Mega Cat Studios
606510,The Fayburrow Troupe
311720,Baltoro Games
431770,JANS Dev Team
46550,Statera Studio
2442410,Trebuchet Entertainment LLC
725100,KOEI TECMO GAMES CO.
1742610,LTD.
427680,GRASSHOPPER MANUFACTURE INC.
248350,Monkey Wizard Entertainment
369030,White Giant RPG Studios
386770,Thylacine Studios
46450,OTTO Games
786450,Acid Man Games
2010370,Fire Plant Games
783240,Molegato
400110,Foam Sword
2673490,Stolen Couch Games
1335030,Vaka Game Magazine
936180,ImCyan
2494810,upjers
537430,Virtuaport
2420330,Anatoliy Loginovskikh
260930,Аlexandr Telminov
265950,Ovid Works
1637670,Dark Artz Entertainment
567060,Ignis Sanat
1546930,Sanuk Games
1007840,Business Tycoon
1111940,Usual Suspects Studios
926540,TreeFortress Games
2264090,EtherGaming
3099730,lovelygames
443860,Ludokultur
489560,Dieselmine
804730,Square Enix
1932230,ArtePiazza
979260,Aeterna Ludi
2794770,Nyamyam
2413050,Pixbits
2616430,Clever Trickster Studio
1618290,Upturn Games
496640,糯米团子工作室
403690,Master Games
2456860,NCARD
882250,Half Human Games
730840,SUPER HYPER MEGA
249360,Pilgrim Adventures
1495860,GrabTheGames Studios
1571190,This I Dreamt
497860,Cosmoscouts
3462980,MAGES. Inc.
1502990,5pb.
1491640,Maple Powered Games
294040,CINEMAX GAMES
1909810,Blue Moon Games
567580,Idan Rooze
2652000,Noumena Studios
3068430,Cyanide Studio
1516750,Yacht Club Games
2009720,302 Studio
400160,Suzuki Suzuzou
705290,Full Control
338800,Ducat
974950,HollowPixels
384960,IndieBug
515020,CleverRaven
1978330,A Sharp
1528550,Gardenfiend Games
2739620,Volition
1151740,Sinned Games
1771380,墨香如故
499620,PUMPKIM
496190,Indie Marc
1013540,Steel Arts Software Ltd
485860,Night Node Software
2492290,Hamsters Gaming
1469370,Fantasy Flight Publishing
218510,Inc.
1620290,AbstractArt
438180,Glimmer Studio
1065020,Bullfrog Productions
370460,Poetic
2248330,D20Studios
1617030,Laura Shigihara
2336180,ENTERGRAM
824830,INC.
505060,Milestone S.r.l.
2404110,Firaxis Games
1864080,Idea Factory
1234400,Compile Heart
3096620,Tricktale
1301950,Epyx
2205750,Inc.
2511030,MOR Museum Inc.
1058710,KDream
622770,Dark One!
1266220,Anatoliy Loginovskikh
290280,Khud0
1206600,LameCat Studio
1916890,07th Expansion
1240810,RePatrick21
579760,FromLefcourt
608120,Logic Leo
1332760,Team Morbid
837590,Paleno Games
2003050,Jesse Makkonen
1134030,Unreal Quality Games
318310,Rosa Special Studio
1787790,Alpherior
793150,Funtime
448290,Alda Games
675240,Jujubee S.A.
1907720,Sayan
716260,Ktulhu Solutions
856880,CloudGate Studio
2165620,Inc.
2419900,Popcannibal
1292180,SnowFlame
1437500,Back To Basics Gaming
1533680,Two Tribes
2109270,Sadetta
2201930,MagicalTimeBean
523740,EastFog Studios
1534180,BFS
1007740,Kube Games
263360,Copperbolt
534290,ViVa Games
540510,Little Big MMO
384750,坤舆科技
1903910,一冉影视
493080,Rogue Entertainment
2023050,FromDawn Games
2194730,Eksperimental Games
692030,Bithell Games
1385880,Bit Dragon
1953540,Reality Pump Studios
2546970,Siactro
2630020,SCS Software
298560,Papaya Studio
552160,Boys Laugh +
2821890,Cosmic Engineers
914170,Alan Hazelden
262850,Benjamin Davis
2224610,Tyu
1491200,One Legged Seagull
737520,Winter Wolves
283560,Digital Arrow
486510,Endroad
1781260,PISHO
2701210,Marius Angeschrien
38450,Renderise
1496590,Saber Interactive
1595710,Notovia
644640,Rockodile
1921780,Tyler
2521630,Drixy Games
573170,Team17 Digital Ltd
504390,Ultra Runaway Games
536040,Papertiger Studio
1392340,Zenimax Online Studios
971160,Luminy Studios
2506580,Visualnoveler
1822060,Chris Shanaz
352240,Scuffed Development
841350,5 Lives Studios
2172510,L. Stotch
647740,One More Level
1528860,j4nw
1348180,startgrid
1178210,Whirlybird Games
1346010,Spiral Bound Interactive LLC
217120,Primal
1065520,Tiny Trinket Games
1431240,Fiction Factory Games
1215270,Limited Run Games
3044550,Airem
2376540,Starni Games
2877540,Lemon Curd Games
1740680,616 GAMES
1120370,SinisterGames
1135260,exagongames
1187940,边境游戏工作室
1217410,Unleash The Giraffe
1515890,IzHard
883080,Zabbo Games
414550,Nihon Falcom
2647060,KONAMI
2777230,Knitting Games
2840250,Colossi Games
809310,Vision Forge Team
295250,Studio TeamShuriken
739130,IMPOSSIBLE INC
670750,Airem
297470,PISHO
1115450,Apptivus
2991400,Roll7
206760,General Arcade
1262190,Octofox Games
558450,Mayfly
441280,JubleLemonSeed
715580,David Szymanski
1901340,Steamy Buns Games
1383770,HappyGames
1620720,Tonguç Bodur
317850,FLEB
1341160,AQ2World Team
2564880,TNG Team
1789650,A-Team (Akimbo)
962090,Oyashiro.dev
3376760,NTWL
454070,LoopyMood
267360,BeardedBrothers.games
1299510,Oldmoustache Gameworks
406170,Septarian Games
499460,The Story Mechanics
2497280,Adventurers Tavern
1768780,KOEI TECMO GAMES CO.
207430,LTD.
551700,Alawar Entertainment
904360,Third Spirit Games
485730,David Czarnowski
2360020,Digital Reality
344190,Grasshopper Manufacture
458590,Gyroscope Games
611300,Code Horizon
2767520,PixelFade
1455590,Sailors Moon Studios
1459910,Carlos Coronado
99700,IDUN Interactive
2432100,Brian Lancaster
907310,Laughing Coyote Software
259620,Sleepy Duck
1530340,VIS - Visual Imagination Software
2943150,Mikael Bihl
2184150,tha ltd.
1135440,Enhance
2675630,Schwarz Games
2140650,Nihohe Soft
2442380,banjihagames
2437040,Maciej Targoni
2686580,J.Bowman
2262930,GameFormatic S.A.
1377550,IndieGala
1269550,Skatanic Studios
2827810,Slay the Dragon!-Team
2153770,Outlier
2701910,Kokua Games
1203370,Game-Labs
758730,Pow Wow Entertainment
276890,Kowai Sugoi Studios
1300600,4H StudioLab
349250,BBC Media Applications Technologies Limited
908050,Clay Game Studio
576430,Reiza Studios
914290,Taylor McCue
587470,热区网络
338060,Animation Arts
346630,Elden Pixels
3126180,David Lobser
344480,ONEONE1
1249060,1917 Studios
341710,Cotton Game
2996090,Milan Kazarka
2381160,Jeroen van Oosten
444720,bumblebee.
626510,Boom Team
2118250,Vittorio Romeo
461730,AlterStaff Inc.
468070,Romantic Room
977630,Llamamann Games
2962750,GrabTheGames Studios
1996420,Phosfiend Systems
336300,430Games
344860,ArtistBOA
3027780,Carbon Studio
956240,Rhombico Games
1378040,EverCats
2635350,MOON SCAPE
995230,Fancy Bytes
1722870,Reactor
1018000,0 Deer Soft
371550,Mateusz Skutnik
399520,Parange Project
700160,國王互娛King Interactive
1001140,Asteroid Game Studio
975510,Nippon Ichi Software
2298300,Inc.
702110,HiTech Creations Inc.
2230070,Knuckle Cracker
1395850,Byting Games
796860,HeavyLight Studio
399890,Zanardi and Liza
1546280,Survios
569810,WWO Partners Ltd
513490,70`Strike
1599250,Most Wanted Entertainment
2308630,Xatrix Entertainment
2840480,梵天游戏
803830,Springloaded
1125710,Thomas Biskup
1286730,Jochen Terstiege
338820,Krzysztof Dycha
1880710,Lucas Dieguez
1163070,Bastian von Gostomski
