appid,developers
881100,Team Jade
471710,Unknown Developer
1446780,Paradox Development Studio
2054970,Paradox Tinto
1030840,Blobfish
636480,Team17
240720,KONAMI
620980,Fatshark
753640,Dennaton Games
977950,Sky
289650,AestheticSpartan
239030,OBrian
1286830,Unknown Worlds Entertainment
231430,Gamepires
287700,Landfall
1180320,New World Interactive
2016590,Massive Monster
389730,Chucklefish
1203620,Unknown Developer
2399830,Fatshark
1151340,Duoyi Games
489520,Wargaming Group Limited
1113000,CREATIVE ASSEMBLY
418370,Feral Interactive (Mac)
235460,Feral Interactive (Linux)
1049590,Valve
254700,Afterthought LLC
380600,KONAMI
962130,Empyrean
414340,Tripwire Interactive
1274570,Skybox Labs
386180,Hidden Path Entertainment
206440,Ensemble Studios
787860,Forgotten Empires
205100,Crate Entertainment
1250410,Campo Santo
750920,GSC Game World
905320,MY.GAMES
890030,VALOFE
849160,NS STUDIO
849200,CREATIVE ASSEMBLY
1248130,Feral Interactive
424370,Amistech Games
2670630,Fancy Games
460950,4A Games
363970,Ubisoft Paris
2429640,Ubisoft Annecy
282070,Ubisoft Bucharest
304430,Ubisoft Montpellier
952060,Ubisoft Milan
2709570,Reflections
747660,Ubisoft Belgrade
287390,Sandbox Interactive GmbH
2231450,Ivory Tower
504370,QLOC
1888160,FromSoftware
307690,Inc.
815370,Lo-Fi Games
779340,CAPCOM Co.
346900,Unknown Developer
212680,Monolith Productions
582660,Mike Klubnika
1015520,Paradox Development Studio
1363080,NetherRealm Studios
1466860,QLOC
241930,Shiver
1771300,Youthcat Studio
1774580,CarX Technologies
1145350,Unknown Developer
387290,8Floor
233450,Frontier Developments
871720,Soviet Games
638970,Ubisoft
333930,KAGAMI WORKS
206420,No More Room in Hell Team
493340,Rogue Planet Games
1238860,Dodge Roll
760160,Bethesda Game Studios
1404210,Massive Entertainment
1313860,EXBO
1222700,Firaxis Games
274170,Feral Interactive (Mac)
1237950,Feral Interactive (Linux)
213670,Square Enix
298110,Orteil
238460,DashNet
674020,Team Psykskallar
2881650,Paradox Development Studio
752590,FromSoftware
629730,Inc.
265930,Frontier Developments
1304930,FishSoft LLC
2669320,Gaggle Studios
1973530,Inc.
2898330,Nomada Studio
2898360,Funcom
2898350,OMOCAT
678950,Unknown Developer
3146520,Bend Studio
495420,CyberConnect2 Co. Ltd.
728880,Nolla Games
234140,Rec Room
2479810,CAPCOM Co.
924970,Unknown Developer
312660,CAPCOM Co.
466560,Unknown Developer
602960,Hangar 13
1328670,SteelRaven7
1928420,Bennett Foddy
33230,Beat Games
214950,Mobius Digital
1961460,7th Beat Games
838350,Ubisoft
949230,Lucas Pope
246620,Broadsword
285900,Relic Entertainment
261570,Feral Interactive (Mac)
55230,Feral Interactive (Linux)
200260,KONAMI
1147560,杭州游卡网络技术有限公司
1284190,IRONMACE
274190,BANDAI NAMCO Studios Inc.
424840,Keen Games GmbH
204100,Studio Wildcard
933110,Grove Street Games
573090,Instinct Games
648350,Bethesda Game Studios
113200,BetaDwarf
207610,ATLUS
645630,CAPCOM Co.
200210,Unknown Developer
319510,PlatinumGames
420530,Nimble Neuron
414700,Capcom
409710,Fishing Planet LLC
1260320,Obsidian Entertainment
680420,Ninja Theory
1920960,Straight Back Games
219640,Targem Games
346010,Freebird Games
1290000,Giants Software
1139900,Arkane Studios
1790600,Asobo Studio
431240,Eidos-Montréal
552100,Crystal Dynamics
2281730,Nixxes
2567870,Feral Interactive (Mac)
601510,Feral interactive (Linux)
214490,Eidos-Montréal
1272080,Crystal Dynamics
617290,Nixxes
603850,Feral Interactive (Mac)
644930,Feral interactive (Linux)
2349820,Eidos-Montréal
253710,Crystal Dynamics
1451940,Nixxes
273110,Feral Interactive (Mac)
880940,Feral interactive (Linux)
633230,Eidos-Montréal
678960,Crystal Dynamics
2593370,Nixxes
843380,Feral Interactive (Mac)
493520,Feral interactive (Linux)
243470,Eidos-Montréal
286160,Crystal Dynamics
313120,Nixxes
203140,Feral Interactive (Mac)
1384160,Feral interactive (Linux)
253230,Giants Software
1888930,WOLCEN Studio
621060,Nokta Games
201810,Askiisoft
637650,Playsaurus
851850,NCSOFT
1419170,11 bit studios
1282100,Playdead
3097560,CAPCOM Co.
1017180,Unknown Developer
418460,DeadDevsTellNoLies
994280,Steel Wool Studios
1621690,4A Games
221910,Tour De Pizza
470220,Stunlock Studios
403640,FromSoftware
454650,Inc.
501300,United Front Games
282140,Feral Interactive (Mac)
568220,Creepy Jar
2215430,CREATIVE ASSEMBLY
884660,Feral Interactive (Mac)
239820,Feral Interactive (Linux)
109600,Hyper Hippo Games
221040,Subset Games
200510,Pearl Abyss
209000,Relic Entertainment
1128810,Worlds Edge
611500,Slavic Magic
1288310,Relic Entertainment
502500,Forgotten Empires
505460,Climax Studios
972660,Worlds Edge
870780,Monolith Productions
1846380,Warhorse Studios
1669980,Respawn
382940,Supergiant Games
113400,Moon Studios GmbH
1987080,Introversion Software
2420510,Double Eleven
1149460,Scott Cawthon
555160,Ryu Ga Gotoku Studio
1659040,Splash Damage
242920,Deep Silver Volition
834910,Frontier Developments
2524890,Aspyr (Mac)
438040,DICE
223750,Sharkmob AB
1129580,Rockstar Games
265630,EA Canada
2021910,Hazelight Studios
1627720,Dennaton Games
386940,DICE
8500,Obsidian Entertainment
2551020,Ubisoft Montreal
2322560,Red Storm
108710,Shanghai
1845910,Toronto
3070070,Kiev
307780,The Behemoth
1206560,Wishlist Games
1369630,Wilnyl
544810,Philip
367500,thePetHen
48000,Skog
920210,Zorro
412220,Asobo Studio
1178830,WarpFrog
881020,Coffee Stain Studios
860510,Red Barrels
1562430,EA Canada
690790,EA Romania
1241100,ProjectMoon
844870,EA Canada
599140,EA Romania
201270,EA Canada
480490,EA Romania
1465360,EA Canada
21690,EA Romania
1533390,Arc System Works
555570,lamedeveloper
360430,Undead Labs
666140,Ghost Town Games Ltd.
2321470,Team17
1952120,Avalanche Studios
1364780,MADFINGER Games
244450,a.s.
3327940,Turtle Rock Studios
3300020,Rebellion
2797000,Shiro Games
3291100,FakeFish
667030,Undertow Games
3496470,BioWare
340370,Farlight Games
3250090,Ubisoft Montreal
337130,CREATIVE ASSEMBLY
3209780,Mob Entertainment
3471330,ConchShip Games
562040,Colossal Order Ltd.
3422960,Ndemic Creations
1296830,Boneloaf
225080,Rocket Science
823500,Moon Studios GmbH
50130,Volition
302510,Rocksteady Studios
2344520,SOUTHPAW GAMES
835570,Miju Games
529340,Free Lives
554620,Tarsier Studios
751780,Rockstar Studios
704850,Worlds Edge
2338770,Tantalus Media
269210,Forgotten Empires
1562700,Geometa
200710,Frontier Developments
895400,Edmund McMillen
417860,Florian Himsl
1282730,Telltale Games
1276390,Red Dot Games
967050,Wild Shadow Studios
312520,Deca Games
364360,Scott Cawthon
1997040,Future Cat LLC
824270,Red Barrels
447530,2K Boston
1544020,2K Australia
225840,Blind Squirrel
334230,Feral Interactive (Mac)
383980,Recreate Games
745920,People Can Fly
675010,LB Game
1254120,Torn Banner Studios
266840,Spiderling Studios
236430,FuturLab
638230,One More Level
992300,3D Realms
612880,Slipgate Ironworks™
1210320,All in! Games
1325200,Spike Chunsoft Co.
1462040,Unknown Developer
371660,Blacklight Interactive
1483870,Team17
476600,Fluppisoft
476620,Alfa Bravo Inc
738060,Anegar Games
955050,KONAMI
1778820,Creative Assembly
418240,Feral Interactive (Mac)
1256670,Feral Interactive (Linux)
1135690,Starbreeze Studios
582500,Gunfire Games
939400,Łukasz Jakowski
1817190,Numantian Games
47890,钢之直男工作室
2406770,Expansive Worlds
337000,Avalanche Studios
597170,WSS playground
1213210,xemono
444640,Valve
787480,NEXON
527230,Rebuilt Games
261640,Soleil Ltd.
1657630,Bandai Namco Studios
326460,零创游戏(ZerocreationGame)
1922560,Pixile
